sku;qty;color_id;size_id;price
730119;0;28;15;0
730119;0;28;16;0
730119;0;28;17;0
730119;0;13;15;0
730119;0;13;16;0
730119;0;13;17;0
730119;0;5;15;0
730119;2;5;16;0
730119;0;5;17;0
730119;0;35;15;0
730119;0;35;16;0
730119;0;35;17;0
730119;0;62;15;0
730119;0;62;16;0
730119;0;62;17;0
730119;7;6;15;0
730119;12;6;16;0
730119;9;6;17;0
730119;0;17;15;0
730119;0;17;16;0
730119;1;17;17;0
730119;1;20;15;0
730119;2;20;16;0
730119;0;20;17;0
730119;1;38;15;0
730119;0;38;16;0
730119;0;38;17;0
750128;0;26;3;0
750128;0;26;4;0
750128;14;26;5;0
750128;1;25;3;0
750128;0;25;4;0
750128;0;25;5;0
800128;6;25;8;0
800128;7;25;7;0
800128;7;25;14;0
800128;8;25;3;0
810128;3;12;8;0
810128;3;12;7;0
810128;6;12;14;0
810128;6;12;3;0
850119;0;85;5;0
850119;1;85;15;0
850119;0;85;16;0
850119;0;85;17;0
850119;0;100;5;0
850119;0;100;15;0
850119;0;100;16;0
850119;0;100;17;0
850119;33;14;5;0
850119;35;14;15;0
850119;35;14;16;0
850119;36;14;17;0
850119;0;25;5;0
850119;0;25;15;0
850119;0;25;16;0
850119;0;25;17;0
22409;24;31;8;0
22409;25;31;7;0
22409;24;31;14;0
22409;16;37;8;0
22409;14;37;7;0
22409;14;37;14;0
12;6;26;15;0
12;6;26;16;0
12;5;26;17;0
12;7;26;15;0
12;7;26;16;0
12;7;26;17;0
12;6;26;15;0
12;7;26;16;0
12;7;26;17;0
12;6;26;6;0
12;6;26;1;0
12;6;26;2;0
12;4;26;6;0
12;4;26;1;0
12;4;26;2;0
12;3;26;6;0
12;3;26;1;0
12;3;26;2;0
1521213;1;26;7;0
1521213;0;26;8;0
1521213;0;26;14;0
1521213;13;13;7;0
1521213;9;13;8;0
1521213;14;13;14;0
1611225;4;26;8;0
1611225;3;26;7;0
1611225;5;26;14;0
1611225;0;32;8;0
1611225;0;32;7;0
1611225;0;32;14;0
1611225;5;32;8;0
1611225;8;32;7;0
1611225;1;32;14;0
1951213;19;12;8;0
1951213;22;12;7;0
1951213;19;12;14;0
1951213;5;13;8;0
1951213;2;13;7;0
1951213;1;13;14;0
1961213;0;2;8;0
1961213;0;2;7;0
1961213;0;2;14;0
1961213;25;12;8;0
1961213;25;12;7;0
1961213;23;12;14;0
1971213;17;18;8;0
1971213;20;18;7;0
1971213;19;18;14;0
1971213;1;12;8;0
1971213;0;12;7;0
1971213;0;12;14;0
1981213;1;2;4;0
1981213;2;2;5;0
1981213;4;2;3;0
1981213;3;35;4;0
1981213;0;35;5;0
1981213;1;35;3;0
2001213;4;1;4;0
2001213;4;1;5;0
2001213;7;1;3;0
2001213;0;35;4;0
2001213;0;35;5;0
2001213;1;35;3;0
2041213;9;8;15;0
2041213;7;8;16;0
2041213;9;8;17;0
2041213;0;37;15;0
2041213;0;37;16;0
2041213;0;37;17;0
2051213;31;2;15;0
2051213;27;2;16;0
2051213;31;2;17;0
2051213;38;12;15;0
2051213;41;12;16;0
2051213;40;12;17;0
2131211;1;3;6;0
2131211;2;3;1;0
2131211;0;3;2;0
2131211;8;25;6;0
2131211;4;25;1;0
2131211;11;25;2;0
2231211;7;25;15;0
2231211;0;25;16;0
2231211;2;25;17;0
2381211;4;3;3;0
2381211;0;3;4;0
2381211;1;3;5;0
2381211;0;25;3;0
2381211;0;25;4;0
2381211;4;25;5;0
2411211;3;3;15;0
2411211;8;3;16;0
2411211;5;3;17;0
2411211;0;37;15;0
2411211;0;37;16;0
2411211;0;37;17;0
2431211;48;3;6;0
2431211;48;3;1;0
2431211;50;3;2;0
2441212;2;13;6;0
2441212;0;13;1;0
2441212;7;13;2;0
2441212;1;35;6;0
2441212;0;35;1;0
2441212;0;35;2;0
2461213;26;13;15;0
2461213;21;13;16;0
2461213;21;13;17;0
2461213;19;7;15;0
2461213;18;7;16;0
2461213;18;7;17;0
2471213;22;26;18;0
2471213;24;26;19;0
2471213;24;26;20;0
2471213;15;26;18;0
2471213;14;26;19;0
2471213;15;26;20;0
2481213;78;13;6;0
2481213;76;13;1;0
2481213;76;13;2;0
2481213.;87;35;6;0
2481213;89;35;1;0
2481213;86;35;2;0
2491213;5;13;4;0
2491213;4;13;5;0
2491213;0;13;3;0
2491213;58;35;4;0
2491213;28;35;5;0
2491213;0;35;3;0
2511213;34;26;6;0
2511213;34;26;1;0
2511213;37;26;2;0
2511213;30;13;6;0
2511213;33;13;1;0
2511213;33;13;2;0
2611211;5;43;15;0
2611211;7;43;16;0
2611211;5;43;17;0
2681227;2;14;6;0
2681227;2;14;1;0
2681227;4;14;2;0
2681227;0;25;6;0
2681227;0;25;1;0
2681227;0;25;2;0
2681227;1;15;6;0
2681227;1;15;1;0
2681227;1;15;2;0
2681227;2;15;6;0
2681227;6;15;1;0
2681227;2;15;2;0
2821227;6;25;8;0
2821227;7;25;7;0
2821227;2;25;14;0
2831227;0;31;15;0
2831227;0;31;16;0
2831227;2;31;17;0
2831227;4;31;15;0
2831227;3;31;16;0
2831227;1;31;17;0
2831227;17;25;15;0
2831227;18;25;16;0
2831227;19;25;17;0
2911211;3;25;3;0
2911211;3;25;4;0
2911211;4;25;5;0
2911211;6;79;3;0
2911211;8;79;4;0
2911211;8;79;5;0
2921211;0;31;3;0
2921211;0;31;4;0
2921211;0;31;5;0
2921211;0;37;3;0
2921211;0;37;4;0
2921211;0;37;5;0
2921211;0;60;3;0
2921211;0;60;4;0
2921211;1;60;5;0
2931211;0;3;15;0
2931211;0;3;16;0
2931211;0;3;17;0
2931211;0;37;15;0
2931211;0;37;16;0
2931211;0;37;17;0
2931211;15;23;15;0
2931211;13;23;16;0
2931211;15;23;17;0
2941211;10;25;15;0
2941211;8;25;16;0
2941211;8;25;17;0
2941211;7;70;15;0
2941211;6;70;16;0
2941211;2;70;17;0
2951211;5;25;3;0
2951211;8;25;4;0
2951211;1;25;5;0
2951211;12;60;3;0
2951211;2;60;4;0
2951211;1;60;5;0
2961211;10;3;6;0
2961211;9;3;1;0
2961211;12;3;2;0
2961211;1;25;6;0
2961211;0;25;1;0
2961211;0;25;2;0
2961211;12;10;6;0
2961211;12;10;1;0
2961211;12;10;2;0
2961211;11;7;6;0
2961211;9;7;1;0
2961211;9;7;2;0
2971211;1;2;6;0
2971211;3;2;1;0
2971211;8;2;2;0
2971211;3;25;6;0
2971211;5;25;1;0
2971211;4;25;2;0
2971211;2;5;6;0
2971211;2;5;1;0
2971211;4;5;2;0
2981211;9;3;15;0
2981211;10;3;16;0
2981211;10;3;17;0
2981211;6;14;15;0
2981211;6;14;16;0
2981211;6;14;17;0
2981211;6;25;15;0
2981211;6;25;16;0
2981211;6;25;17;0
3001211;12;25;1;0
3001211;10;25;2;0
3001211;9;25;18;0
3001211;11;25;1;0
3001211;10;25;2;0
3001211;11;25;18;0
3001211;9;70;1;0
3001211;8;70;2;0
3001211;7;70;18;0
3011211;6;25;4;0
3011211;6;25;5;0
3011211;6;25;15;0
3011211;1;70;4;0
3011211;0;70;5;0
3011211;1;70;15;0
3011211;8;78;4;0
3011211;9;78;5;0
3011211;8;78;15;0
3021211;1;25;7;0
3021211;0;25;14;0
3021211;0;25;3;0
3021211;0;70;7;0
3021211;0;70;14;0
3021211;0;70;3;0
3021211;0;79;7;0
3021211;0;79;14;0
3021211;0;79;3;0
3041213;10;85;7;0
3041213;11;85;14;0
3041213;12;85;3;0
3041213;9;69;7;0
3041213;9;69;14;0
3041213;9;69;3;0
3051213;5;101;7;0
3051213;4;101;14;0
3051213;4;101;3;0
3051213;2;77;7;0
3051213;0;77;14;0
3051213;0;77;3;0
3101211;0;3;16;0
3101211;0;3;17;0
3101211;0;3;6;0
3101211;0;111;16;0
3101211;0;111;17;0
3101211;0;111;6;0
3101211;0;25;16;0
3101211;0;25;17;0
3101211;0;25;6;0
3111211;0;3;4;0
